2025-04-01 22:23:04: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.8897, num_s1: 7940, num_s2: 30, num_s_per_node: 7970
2025-04-01 23:43:36: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=64, max_test_accuracy=0.2753, num_s1: 15836, num_s2: 107, num_s_per_node: 15943
2025-04-01 23:45:13: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=64, max_test_accuracy=0.2204, num_s1: 15923, num_s2: 142, num_s_per_node: 16065
2025-04-01 23:46:45: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=64, max_test_accuracy=0.2204, num_s1: 15907, num_s2: 128, num_s_per_node: 16035
2025-04-01 23:48:16: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=64, max_test_accuracy=0.2204, num_s1: 15901, num_s2: 128, num_s_per_node: 16029
2025-04-01 23:49:50: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=64, max_test_accuracy=0.2204, num_s1: 15895, num_s2: 127, num_s_per_node: 16022
2025-04-01 23:51:28: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=64, max_test_accuracy=0.0482, num_s1: 15929, num_s2: 319, num_s_per_node: 16248
2025-04-01 23:52:59: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=64, max_test_accuracy=0.0484, num_s1: 15776, num_s2: 319, num_s_per_node: 16095
2025-04-01 23:54:31: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=64, max_test_accuracy=0.2541, num_s1: 15838, num_s2: 328, num_s_per_node: 16166
2025-04-01 23:56:10: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=64, max_test_accuracy=0.2201, num_s1: 15889, num_s2: 191, num_s_per_node: 16080
2025-04-01 23:57:43: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=64, max_test_accuracy=0.2204, num_s1: 15859, num_s2: 282, num_s_per_node: 16141
2025-04-01 23:59:13: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=64, max_test_accuracy=0.2204, num_s1: 15868, num_s2: 128, num_s_per_node: 15996
2025-04-02 00:00:52: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=64, max_test_accuracy=0.2203, num_s1: 15834, num_s2: 255, num_s_per_node: 16089
2025-04-02 00:03:14: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=128, max_test_accuracy=0.8961, num_s1: 31745, num_s2: 139, num_s_per_node: 31884
2025-04-02 00:05:36: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=128, max_test_accuracy=0.8989, num_s1: 31768, num_s2: 144, num_s_per_node: 31912
2025-04-02 00:08:06: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=128, max_test_accuracy=0.9157, num_s1: 31681, num_s2: 140, num_s_per_node: 31821
2025-04-02 00:10:31: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=128, max_test_accuracy=0.8940, num_s1: 31739, num_s2: 134, num_s_per_node: 31873
2025-04-02 00:12:58: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=128, max_test_accuracy=0.6711, num_s1: 31765, num_s2: 99, num_s_per_node: 31864
2025-04-02 00:15:23: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=128, max_test_accuracy=0.8556, num_s1: 31718, num_s2: 134, num_s_per_node: 31852
2025-04-02 00:17:50: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=128, max_test_accuracy=0.6564, num_s1: 31799, num_s2: 99, num_s_per_node: 31898
2025-04-02 00:20:11: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=128, max_test_accuracy=0.8933, num_s1: 31511, num_s2: 113, num_s_per_node: 31624
2025-04-02 00:22:36: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=128, max_test_accuracy=0.8286, num_s1: 31742, num_s2: 135, num_s_per_node: 31877
2025-04-02 00:25:03: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=128, max_test_accuracy=0.4039, num_s1: 31774, num_s2: 220, num_s_per_node: 31994
2025-04-02 00:27:27: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=128, max_test_accuracy=0.6510, num_s1: 31729, num_s2: 102, num_s_per_node: 31831
2025-04-02 00:29:51: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=128, max_test_accuracy=0.7690, num_s1: 31760, num_s2: 124, num_s_per_node: 31884
2025-04-02 00:32:16: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=128, max_test_accuracy=0.4271, num_s1: 31479, num_s2: 311, num_s_per_node: 31790
2025-04-02 00:34:39: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=128, max_test_accuracy=0.2538, num_s1: 31640, num_s2: 128, num_s_per_node: 31768
2025-04-02 00:37:05: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=128, max_test_accuracy=0.2212, num_s1: 31729, num_s2: 335, num_s_per_node: 32064
2025-04-02 00:39:32: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=128, max_test_accuracy=0.2204, num_s1: 31823, num_s2: 672, num_s_per_node: 32495
2025-04-02 00:41:58: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=128, max_test_accuracy=0.2204, num_s1: 31572, num_s2: 512, num_s_per_node: 32084
2025-04-02 00:44:21: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=128, max_test_accuracy=0.0484, num_s1: 31670, num_s2: 255, num_s_per_node: 31925
2025-04-02 00:46:46: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=128, max_test_accuracy=0.2204, num_s1: 31775, num_s2: 384, num_s_per_node: 32159
2025-04-02 00:49:11: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=128, max_test_accuracy=0.2204, num_s1: 31669, num_s2: 512, num_s_per_node: 32181
2025-04-02 00:51:34: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=128, max_test_accuracy=0.2204, num_s1: 31777, num_s2: 383, num_s_per_node: 32160
2025-04-02 00:54:01: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=128, max_test_accuracy=0.2204, num_s1: 31502, num_s2: 256, num_s_per_node: 31758
2025-04-02 00:56:26: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=128, max_test_accuracy=0.1196, num_s1: 31745, num_s2: 384, num_s_per_node: 32129
2025-04-02 00:58:52: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=128, max_test_accuracy=0.2204, num_s1: 31641, num_s2: 384, num_s_per_node: 32025
2025-04-02 01:01:21: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=128, max_test_accuracy=0.2204, num_s1: 31836, num_s2: 384, num_s_per_node: 32220
2025-04-02 01:03:48: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=128, max_test_accuracy=0.2204, num_s1: 31733, num_s2: 383, num_s_per_node: 32116
2025-04-02 01:06:10: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=128, max_test_accuracy=0.2204, num_s1: 31729, num_s2: 639, num_s_per_node: 32368
2025-04-02 01:10:12: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=256, max_test_accuracy=0.8069, num_s1: 63459, num_s2: 259, num_s_per_node: 63718
2025-04-02 01:14:19: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=256, max_test_accuracy=0.9124, num_s1: 63842, num_s2: 275, num_s_per_node: 64117
2025-04-02 01:18:29: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=256, max_test_accuracy=0.8953, num_s1: 63728, num_s2: 278, num_s_per_node: 64006
2025-04-02 01:22:40: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=256, max_test_accuracy=0.7953, num_s1: 63619, num_s2: 257, num_s_per_node: 63876
2025-04-02 01:26:46: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=256, max_test_accuracy=0.7794, num_s1: 63571, num_s2: 243, num_s_per_node: 63814
2025-04-02 01:31:03: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=256, max_test_accuracy=0.7987, num_s1: 63415, num_s2: 192, num_s_per_node: 63607
2025-04-02 01:35:10: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=256, max_test_accuracy=0.7582, num_s1: 63326, num_s2: 224, num_s_per_node: 63550
2025-04-02 01:39:11: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=256, max_test_accuracy=0.7569, num_s1: 63672, num_s2: 216, num_s_per_node: 63888
2025-04-02 01:43:16: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=256, max_test_accuracy=0.6554, num_s1: 63435, num_s2: 185, num_s_per_node: 63620
2025-04-02 01:47:29: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=256, max_test_accuracy=0.5613, num_s1: 63656, num_s2: 163, num_s_per_node: 63819
2025-04-02 01:51:41: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=256, max_test_accuracy=0.5675, num_s1: 63376, num_s2: 168, num_s_per_node: 63544
2025-04-02 01:55:55: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=256, max_test_accuracy=0.6497, num_s1: 63531, num_s2: 163, num_s_per_node: 63694
2025-04-02 02:00:08: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=256, max_test_accuracy=0.2204, num_s1: 63375, num_s2: 1051, num_s_per_node: 64426
2025-04-02 02:04:22: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=256, max_test_accuracy=0.4299, num_s1: 63223, num_s2: 428, num_s_per_node: 63651
2025-04-02 02:08:25: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=256, max_test_accuracy=0.2204, num_s1: 63369, num_s2: 1535, num_s_per_node: 64904
2025-04-02 02:12:32: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=256, max_test_accuracy=0.2204, num_s1: 63253, num_s2: 798, num_s_per_node: 64051
2025-04-02 02:16:40: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=256, max_test_accuracy=0.2204, num_s1: 63100, num_s2: 1279, num_s_per_node: 64379
2025-04-02 02:21:03: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=256, max_test_accuracy=0.2204, num_s1: 63367, num_s2: 1047, num_s_per_node: 64414
2025-04-02 02:25:11: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=256, max_test_accuracy=0.2204, num_s1: 63387, num_s2: 1279, num_s_per_node: 64666
2025-04-02 02:29:18: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=256, max_test_accuracy=0.2204, num_s1: 63281, num_s2: 1279, num_s_per_node: 64560
2025-04-02 02:33:30: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=256, max_test_accuracy=0.2204, num_s1: 63443, num_s2: 1023, num_s_per_node: 64466
2025-04-02 02:37:38: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=256, max_test_accuracy=0.2712, num_s1: 63337, num_s2: 532, num_s_per_node: 63869
2025-04-02 02:41:50: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=256, max_test_accuracy=0.2204, num_s1: 63405, num_s2: 1023, num_s_per_node: 64428
2025-04-02 02:46:01: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=256, max_test_accuracy=0.2204, num_s1: 63481, num_s2: 1535, num_s_per_node: 65016
2025-04-02 02:50:03: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=256, max_test_accuracy=0.2204, num_s1: 63243, num_s2: 1280, num_s_per_node: 64523
2025-04-02 02:54:06: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=256, max_test_accuracy=0.2204, num_s1: 63289, num_s2: 1023, num_s_per_node: 64312
2025-04-02 02:58:14: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=256, max_test_accuracy=0.0484, num_s1: 63594, num_s2: 1023, num_s_per_node: 64617
2025-04-02 03:06:04: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=512, max_test_accuracy=0.8946, num_s1: 126675, num_s2: 488, num_s_per_node: 127163
2025-04-02 03:13:53: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=512, max_test_accuracy=0.8948, num_s1: 126804, num_s2: 549, num_s_per_node: 127353
2025-04-02 03:21:44: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=512, max_test_accuracy=0.9131, num_s1: 126450, num_s2: 659, num_s_per_node: 127109
2025-04-02 03:29:35: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=512, max_test_accuracy=0.7693, num_s1: 127189, num_s2: 490, num_s_per_node: 127679
2025-04-02 03:37:35: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=512, max_test_accuracy=0.8544, num_s1: 126870, num_s2: 509, num_s_per_node: 127379
2025-04-02 03:45:18: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=512, max_test_accuracy=0.7497, num_s1: 127278, num_s2: 443, num_s_per_node: 127721
2025-04-02 03:53:07: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=512, max_test_accuracy=0.6717, num_s1: 127906, num_s2: 344, num_s_per_node: 128250
2025-04-02 04:01:08: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=512, max_test_accuracy=0.8542, num_s1: 126478, num_s2: 536, num_s_per_node: 127014
2025-04-02 04:09:05: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=512, max_test_accuracy=0.7500, num_s1: 127167, num_s2: 396, num_s_per_node: 127563
2025-04-02 04:16:56: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=512, max_test_accuracy=0.5696, num_s1: 126906, num_s2: 323, num_s_per_node: 127229
2025-04-02 04:25:13: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=512, max_test_accuracy=0.4060, num_s1: 127039, num_s2: 806, num_s_per_node: 127845
2025-04-02 04:33:06: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=512, max_test_accuracy=0.6725, num_s1: 126612, num_s2: 370, num_s_per_node: 126982
2025-04-02 04:41:02: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=512, max_test_accuracy=0.2203, num_s1: 125715, num_s2: 2496, num_s_per_node: 128211
2025-04-02 04:48:54: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=512, max_test_accuracy=0.0485, num_s1: 126836, num_s2: 1535, num_s_per_node: 128371
2025-04-02 04:57:03: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=512, max_test_accuracy=0.2204, num_s1: 126636, num_s2: 2047, num_s_per_node: 128683
2025-04-02 05:04:56: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=512, max_test_accuracy=0.2204, num_s1: 126113, num_s2: 3071, num_s_per_node: 129184
2025-04-02 05:12:42: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=512, max_test_accuracy=0.2204, num_s1: 126459, num_s2: 2047, num_s_per_node: 128506
